,gadget ,card_material,card_shield,card_bit,card_drift,card_mana,card_ingot,dragon_style,dragon_body,dragon_wings,dragon_eyes,dragon_all_horns,dragon_name,music
22,gold_token,platinum,emerald,864,48,3,4,wild,peaceful_green,floyd_pink,wasp_yellow,bone,Sweeney,none
23,titanium_token,platinum,sapphire,720,60,9,4,wild,chocolate_brown,grosbeak_green,hornet_brown,bone,Morrígan,none
24,platinum_token,gold,amethyst,720,48,3,5,wild,tangle_dark,magic_purple,hornet_brown,golden,Gwyn,none
25,gold_token,titanium,amethyst,864,72,3,4,wild,peaceful_green,party_orange,wasp_yellow,golden,Gwalchmai,none
26,platinum_token,platinum,emerald,576,60,3,10,wild,exotic_turquoise,sunny_yellow,assembly_purple,bone,Uther,none
27,titanium_token,platinum,emerald,576,48,3,5,pirate,tangle_dark,ocean_blue,hornet_brown,bone,Sabia,none
28,platinum_token,gold,emerald,864,48,3,5,wild,tangle_dark,ocean_blue,wasp_yellow,bone,Feidhelm,none
29,gold_token,gold,emerald,864,48,3,4,wild,mystic_purple,magic_purple,shimmer_turquoise,bone,Culhwch,none
30,gold_token,gold,emerald,864,48,3,4,wild,peaceful_green,sunny_yellow,firefly_lilac,bone,Govannon,none
31,platinum_token,gold,prism,576,60,3,5,wild,tangle_dark,magic_purple,hornet_brown,bone,Oisín,none
32,gold_token,platinum,emerald,576,48,3,4,wild,firing_red,ocean_blue,firefly_lilac,bone,Lir,none
33,platinum_token,platinum,emerald,720,48,3,4,wild,earthy_orange,lemon_green,firefly_lilac,golden,NíamNuadu,none
34,platinum_token,gold,kevlar,576,48,3,4,wild,chocolate_brown,ocean_blue,wasp_yellow,bone,Heber,none
35,platinum_token,titanium,prism,720,48,3,12,wild,firing_red,sunny_yellow,hornet_brown,bone,Nechtan,none
36,gold_token,platinum,sapphire,576,48,3,5,wild,chocolate_brown,ocean_blue,hornet_brown,bone,Ériu,none
37,gold_token,titanium,amethyst,864,48,3,4,wild,exotic_turquoise,floyd_pink,firefly_lilac,golden,Medraut,none
38,platinum_token,gold,kevlar,720,48,3,4,wild,earthy_orange,lemon_green,firefly_lilac,bone,Brigit,none
39,gold_token,gold,kevlar,720,48,3,5,wild,mystic_purple,ocean_blue,hornet_brown,bone,Aodh,none
40,gold_token,gold,emerald,576,48,3,4,wild,tangle_dark,lemon_green,hornet_brown,bone,Nuadu,none
41,platinum_token,gold,kevlar,576,72,3,8,wild,earthy_orange,lemon_green,hornet_brown,bone,Ségdae,none
42,titanium_token,platinum,kevlar,864,48,3,4,wild,exotic_turquoise,lemon_green,hornet_brown,rainbow,Connla,none
43,platinum_token,gold,amethyst,864,48,6,5,wild,chocolate_brown,magic_purple,wasp_yellow,bone,Emer,none
44,gold_token,platinum,emerald,864,48,3,5,wild,earthy_orange,floyd_pink,hornet_brown,bone,Ler,none
45,gold_token,platinum,emerald,576,48,3,4,wild,exotic_turquoise,floyd_pink,hornet_brown,bone,Oissíne,none
46,titanium_token,gold,kevlar,720,60,6,4,sovereign,exotic_turquoise,ocean_blue,hornet_brown,bone,Mór-Ríoghain,none
47,platinum_token,platinum,sapphire,576,48,6,4,pirate,exotic_turquoise,party_orange,hornet_brown,bone,Deimne,none
48,gold_token,titanium,kevlar,576,48,3,4,wild,firing_red,magic_purple,shimmer_turquoise,bone,Diarmait,none
49,platinum_token,platinum,amethyst,864,48,3,4,wild,firing_red,ocean_blue,hornet_brown,bone,Belenus,none
50,gold_token,titanium,emerald,576,48,3,10,wild,chocolate_brown,ocean_blue,wasp_yellow,bone,Partholón,none
51,platinum_token,platinum,emerald,576,48,3,5,wild,tangle_dark,ocean_blue,wasp_yellow,golden,Tadg,none
52,platinum_token,platinum,sapphire,720,60,3,4,wild,chocolate_brown,party_orange,hornet_brown,bone,Cernunnos,none
53,gold_token,gold,prism,576,48,3,12,wild,firing_red,sunny_yellow,wasp_yellow,golden,Geraint,none
54,gold_token,titanium,prism,576,48,3,5,wild,tangle_dark,sunny_yellow,wasp_yellow,golden,Doireann,none
55,platinum_token,titanium,sapphire,720,48,3,5,wild,firing_red,sunny_yellow,wasp_yellow,bone,CúChulainn,none
56,titanium_token,platinum,kevlar,864,60,3,4,wild,tangle_dark,grosbeak_green,wasp_yellow,golden,Lleu,none
57,titanium_token,gold,amethyst,576,48,3,5,wild,earthy_orange,party_orange,hornet_brown,golden,Bran,none
58,titanium_token,gold,amethyst,720,48,3,4,wild,earthy_orange,grosbeak_green,hornet_brown,rainbow,Áine,none
59,gold_token,platinum,amethyst,720,48,3,4,wild,chocolate_brown,lemon_green,hornet_brown,bone,Conall,none
60,gold_token,platinum,amethyst,864,48,3,5,wild,exotic_turquoise,magic_purple,hornet_brown,golden,Lugh,none
61,platinum_token,platinum,emerald,576,48,3,5,wild,tangle_dark,ocean_blue,hornet_brown,bone,Blodeuedd,none
62,gold_token,gold,kevlar,864,72,3,4,wild,firing_red,ocean_blue,firefly_lilac,bone,Dylan,none
63,gold_token,gold,emerald,720,48,3,4,wild,earthy_orange,lemon_green,hornet_brown,bone,Cúchulainn,none
64,gold_token,gold,emerald,720,48,3,8,wild,chocolate_brown,magic_purple,hornet_brown,bone,Lughaidh,none
65,platinum_token,platinum,emerald,720,48,3,4,sovereign,firing_red,magic_purple,hornet_brown,bone,Lú,none
66,gold_token,platinum,emerald,576,48,3,5,wild,peaceful_green,ocean_blue,hornet_brown,golden,Deirdre,none
67,platinum_token,gold,kevlar,864,72,3,4,wild,peaceful_green,floyd_pink,hornet_brown,bone,Agrona,none
68,platinum_token,platinum,emerald,864,48,3,4,wild,tangle_dark,ocean_blue,firefly_lilac,bone,Sinann,none
69,platinum_token,platinum,kevlar,864,48,3,5,wild,peaceful_green,ocean_blue,hornet_brown,bone,Fedelmid,none
70,gold_token,gold,emerald,720,48,3,5,wild,mystic_purple,grosbeak_green,wasp_yellow,golden,Lugus,none
71,platinum_token,gold,sapphire,720,72,3,4,wild,tangle_dark,magic_purple,wasp_yellow,golden,Lugos,none
72,gold_token,platinum,amethyst,864,48,6,4,wild,mystic_purple,ocean_blue,hornet_brown,bone,Manawydan,none
73,titanium_token,platinum,emerald,720,48,3,4,wild,exotic_turquoise,lemon_green,hornet_brown,golden,Conn,none
74,gold_token,platinum,amethyst,576,48,3,4,wild,exotic_turquoise,grosbeak_green,hornet_brown,bone,Doirend,none
75,platinum_token,gold,prism,864,72,3,4,wild,tangle_dark,lemon_green,hornet_brown,bone,Neasa,none
76,gold_token,platinum,sapphire,864,48,6,5,wild,earthy_orange,lemon_green,hornet_brown,bone,Goibniu,none
77,gold_token,platinum,amethyst,576,60,3,5,wild,firing_red,sunny_yellow,firefly_lilac,bone,Andraste,none
78,gold_token,gold,sapphire,576,48,3,4,wild,exotic_turquoise,grosbeak_green,firefly_lilac,bone,Niamh,none
79,titanium_token,titanium,sapphire,720,48,9,4,wild,firing_red,floyd_pink,shimmer_turquoise,bone,Céibhfhionn,none
80,platinum_token,gold,kevlar,864,48,3,4,wild,peaceful_green,grosbeak_green,shimmer_turquoise,golden,Gwenhwyfar,none
81,platinum_token,titanium,emerald,864,48,3,4,wild,firing_red,grosbeak_green,wasp_yellow,rainbow,Maeve,none
82,gold_token,titanium,sapphire,720,48,3,4,wild,exotic_turquoise,party_orange,hornet_brown,bone,Noíse,none
83,platinum_token,titanium,amethyst,576,48,3,5,wild,firing_red,magic_purple,wasp_yellow,bone,Svetovid,none
84,platinum_token,titanium,emerald,576,48,3,4,wild,mystic_purple,ocean_blue,wasp_yellow,golden,Perkins,none
85,gold_token,platinum,amethyst,720,48,3,4,wild,chocolate_brown,magic_purple,shimmer_turquoise,bone,Barlow,none
86,platinum_token,titanium,emerald,864,48,3,5,wild,chocolate_brown,lemon_green,hornet_brown,golden,Arriola,none
87,gold_token,gold,kevlar,864,48,3,5,wild,firing_red,sunny_yellow,hornet_brown,golden,Cockburn,none
88,gold_token,platinum,prism,720,48,3,4,wild,chocolate_brown,magic_purple,wasp_yellow,rainbow,Tatham,none
89,platinum_token,titanium,kevlar,576,48,3,5,wild,peaceful_green,sunny_yellow,firefly_lilac,bone,Hayley,none
90,platinum_token,gold,amethyst,576,48,3,4,wild,peaceful_green,magic_purple,wasp_yellow,bone,Towner,none
91,platinum_token,titanium,amethyst,576,48,3,4,wild,exotic_turquoise,ocean_blue,hornet_brown,bone,Waldo,none
92,gold_token,titanium,sapphire,720,72,3,4,wild,peaceful_green,party_orange,wasp_yellow,golden,Fierro,none
93,gold_token,titanium,emerald,864,48,6,4,wild,tangle_dark,ocean_blue,wasp_yellow,bone,Pérez,none
94,platinum_token,platinum,sapphire,720,48,3,8,wild,mystic_purple,magic_purple,wasp_yellow,bone,Batts,none
95,gold_token,gold,emerald,864,48,6,4,sovereign,mystic_purple,magic_purple,firefly_lilac,golden,Iñíguez,none
96,titanium_token,gold,amethyst,720,48,3,5,wild,exotic_turquoise,lemon_green,firefly_lilac,bone,Remington,none
97,platinum_token,titanium,sapphire,864,48,3,5,wild,tangle_dark,magic_purple,shimmer_turquoise,bone,Swanson,none
98,gold_token,gold,amethyst,864,48,3,4,wild,mystic_purple,ocean_blue,wasp_yellow,golden,Atteberry,none
99,platinum_token,gold,amethyst,864,48,3,4,wild,earthy_orange,sunny_yellow,shimmer_turquoise,bone,Webb,none
100,platinum_token,platinum,emerald,720,60,3,4,wild,mystic_purple,lemon_green,firefly_lilac,bone,Lorenzo,none
101,platinum_token,gold,prism,864,48,6,5,wild,exotic_turquoise,ocean_blue,firefly_lilac,bone,Ureña,none
102,gold_token,platinum,sapphire,576,48,3,8,sovereign,exotic_turquoise,ocean_blue,wasp_yellow,bone,Banner,none
103,platinum_token,titanium,emerald,576,60,3,4,wild,tangle_dark,magic_purple,hornet_brown,rainbow,Rey,none
104,platinum_token,gold,emerald,720,48,6,4,wild,exotic_turquoise,grosbeak_green,hornet_brown,bone,Losa,none
105,gold_token,platinum,amethyst,576,48,3,8,wild,mystic_purple,ocean_blue,hornet_brown,bone,Salvage,none
106,titanium_token,titanium,amethyst,576,48,3,4,wild,exotic_turquoise,floyd_pink,firefly_lilac,rainbow,Bullard,none
107,platinum_token,gold,emerald,720,60,3,4,wild,peaceful_green,floyd_pink,hornet_brown,golden,Hawkins,none
108,platinum_token,gold,prism,576,48,6,5,wild,firing_red,party_orange,wasp_yellow,bone,Beake,none
109,gold_token,gold,emerald,576,60,6,5,wild,exotic_turquoise,magic_purple,firefly_lilac,bone,Randell,none
110,platinum_token,platinum,emerald,864,60,3,4,wild,firing_red,magic_purple,wasp_yellow,bone,Rye,none
111,gold_token,platinum,prism,720,48,3,4,wild,chocolate_brown,ocean_blue,firefly_lilac,bone,Goodwin,none
112,titanium_token,platinum,sapphire,720,48,6,5,wild,tangle_dark,party_orange,hornet_brown,bone,Merrill,none
113,gold_token,platinum,amethyst,576,48,3,5,wild,mystic_purple,lemon_green,wasp_yellow,bone,Rains,none
114,gold_token,gold,emerald,576,48,3,4,wild,firing_red,sunny_yellow,wasp_yellow,golden,Kidd,none
115,gold_token,platinum,sapphire,864,48,3,8,wild,earthy_orange,sunny_yellow,wasp_yellow,golden,Robles,none
116,titanium_token,titanium,sapphire,720,48,3,8,wild,mystic_purple,sunny_yellow,wasp_yellow,bone,Holland,none
117,platinum_token,platinum,amethyst,576,48,3,4,wild,chocolate_brown,floyd_pink,hornet_brown,golden,Bloxam,none
118,platinum_token,gold,emerald,864,48,3,4,wild,firing_red,magic_purple,wasp_yellow,bone,Aguilar,none
119,platinum_token,gold,sapphire,576,48,3,4,wild,firing_red,sunny_yellow,shimmer_turquoise,bone,Beck,none
120,titanium_token,platinum,sapphire,720,48,3,4,wild,chocolate_brown,sunny_yellow,wasp_yellow,bone,Bellamy,none
121,platinum_token,titanium,amethyst,576,48,3,8,wild,tangle_dark,floyd_pink,wasp_yellow,bone,Yap,none
122,platinum_token,platinum,emerald,864,60,3,4,wild,earthy_orange,floyd_pink,wasp_yellow,golden,Wilmer,none
123,titanium_token,platinum,sapphire,576,60,3,4,wild,earthy_orange,magic_purple,hornet_brown,golden,Darnell,none
124,platinum_token,gold,emerald,576,48,3,4,wild,tangle_dark,sunny_yellow,wasp_yellow,golden,Bonham,none
125,platinum_token,gold,kevlar,864,60,3,5,wild,exotic_turquoise,sunny_yellow,wasp_yellow,bone,Rojo,none
126,platinum_token,gold,amethyst,864,48,3,5,wild,firing_red,lemon_green,hornet_brown,bone,Cory,none
127,platinum_token,gold,sapphire,576,60,6,5,wild,peaceful_green,sunny_yellow,wasp_yellow,bone,Moreno,none
128,platinum_token,platinum,emerald,864,72,6,10,wild,mystic_purple,grosbeak_green,firefly_lilac,golden,Jinks,none
129,gold_token,gold,amethyst,576,48,3,4,wild,chocolate_brown,grosbeak_green,hornet_brown,golden,Quincy,none
130,gold_token,platinum,kevlar,864,48,6,4,wild,earthy_orange,party_orange,shimmer_turquoise,bone,Garner,none
131,titanium_token,platinum,kevlar,576,48,9,4,wild,firing_red,ocean_blue,shimmer_turquoise,golden,Breckenridge,none
132,platinum_token,platinum,amethyst,576,48,6,5,wild,tangle_dark,magic_purple,hornet_brown,golden,Elwin,none
133,platinum_token,gold,amethyst,864,48,3,4,wild,peaceful_green,floyd_pink,wasp_yellow,bone,Oquendo,none
134,gold_token,platinum,emerald,576,48,6,4,wild,exotic_turquoise,magic_purple,wasp_yellow,bone,Fernanda,none
135,platinum_token,platinum,amethyst,720,72,3,5,wild,exotic_turquoise,magic_purple,shimmer_turquoise,bone,Hightower,none
136,gold_token,platinum,emerald,576,48,3,4,wild,firing_red,ocean_blue,firefly_lilac,bone,Shelton,none
137,gold_token,platinum,emerald,720,48,6,8,wild,firing_red,ocean_blue,hornet_brown,bone,Rowland,none
138,titanium_token,gold,kevlar,720,48,3,4,pirate,tangle_dark,ocean_blue,hornet_brown,bone,Sosa,none
139,gold_token,titanium,kevlar,576,48,3,4,wild,peaceful_green,party_orange,hornet_brown,bone,Barnett,none
140,platinum_token,gold,emerald,720,60,6,4,wild,exotic_turquoise,magic_purple,hornet_brown,golden,Jeanes,none
141,gold_token,platinum,sapphire,720,60,6,4,sovereign,peaceful_green,lemon_green,hornet_brown,bone,Armando,none
142,gold_token,titanium,emerald,864,48,3,4,sovereign,exotic_turquoise,ocean_blue,wasp_yellow,bone,Brooks,none
143,gold_token,platinum,amethyst,720,48,9,5,wild,firing_red,floyd_pink,wasp_yellow,bone,Feliciano,none
144,titanium_token,platinum,emerald,720,48,3,4,wild,peaceful_green,ocean_blue,hornet_brown,bone,Colton,none
145,platinum_token,gold,emerald,720,48,6,4,wild,mystic_purple,magic_purple,firefly_lilac,golden,Patterson,none
146,gold_token,titanium,amethyst,720,48,3,4,wild,peaceful_green,party_orange,firefly_lilac,bone,Emmett,none
147,platinum_token,gold,emerald,576,48,3,4,wild,chocolate_brown,party_orange,wasp_yellow,bone,Ochoa,none
148,platinum_token,gold,emerald,720,60,3,4,wild,earthy_orange,ocean_blue,hornet_brown,bone,Moore,none
149,platinum_token,platinum,emerald,576,48,3,4,wild,mystic_purple,ocean_blue,hornet_brown,bone,Gil,none
150,platinum_token,platinum,sapphire,576,48,3,4,pirate,firing_red,party_orange,hornet_brown,bone,Vicario,none
151,gold_token,platinum,amethyst,720,60,3,5,wild,exotic_turquoise,floyd_pink,firefly_lilac,bone,Hunter,none
152,platinum_token,platinum,kevlar,576,48,3,4,wild,peaceful_green,magic_purple,firefly_lilac,bone,Reyes,none
153,platinum_token,platinum,emerald,720,48,6,5,wild,chocolate_brown,ocean_blue,wasp_yellow,rainbow,Midgley,none
154,gold_token,gold,sapphire,576,48,6,5,wild,mystic_purple,sunny_yellow,wasp_yellow,bone,Chamberlain,none
155,gold_token,platinum,amethyst,576,60,3,8,wild,tangle_dark,floyd_pink,hornet_brown,golden,Becket,none
156,titanium_token,platinum,emerald,576,72,3,4,wild,mystic_purple,grosbeak_green,wasp_yellow,golden,Montague,none
157,platinum_token,titanium,amethyst,720,60,3,4,wild,chocolate_brown,lemon_green,hornet_brown,bone,Woodward,none
158,gold_token,gold,emerald,576,48,3,4,sovereign,exotic_turquoise,grosbeak_green,hornet_brown,bone,Cobb,none
159,gold_token,gold,sapphire,864,48,3,4,wild,earthy_orange,party_orange,wasp_yellow,bone,Redondo,none
160,platinum_token,platinum,amethyst,864,48,3,4,wild,earthy_orange,grosbeak_green,wasp_yellow,golden,Rollins,none
161,gold_token,titanium,prism,576,48,3,4,wild,chocolate_brown,party_orange,wasp_yellow,bone,Simms,none
162,platinum_token,titanium,kevlar,720,48,3,4,wild,firing_red,floyd_pink,firefly_lilac,bone,Hobbes,none
163,platinum_token,platinum,sapphire,720,48,9,5,sovereign,tangle_dark,ocean_blue,shimmer_turquoise,bone,Reynolds,none
164,gold_token,platinum,sapphire,864,48,3,4,wild,chocolate_brown,party_orange,wasp_yellow,golden,Bermúdez,none
165,platinum_token,platinum,amethyst,864,48,3,4,wild,mystic_purple,ocean_blue,hornet_brown,bone,Carver,none
166,platinum_token,platinum,amethyst,720,48,3,4,wild,exotic_turquoise,party_orange,hornet_brown,bone,Gardener,none
167,gold_token,platinum,sapphire,576,48,6,4,wild,earthy_orange,magic_purple,hornet_brown,bone,Pearson,none
168,platinum_token,gold,emerald,864,48,6,5,wild,tangle_dark,party_orange,wasp_yellow,golden,Ball,none
169,platinum_token,gold,emerald,576,48,3,5,wild,earthy_orange,sunny_yellow,firefly_lilac,bone,Bentley,none
170,platinum_token,platinum,sapphire,720,48,3,4,wild,chocolate_brown,ocean_blue,hornet_brown,bone,Averill,none
171,gold_token,gold,emerald,576,48,3,4,wild,tangle_dark,party_orange,firefly_lilac,bone,Whittemore,tangle_dragons_-_steven_castano
172,platinum_token,gold,emerald,576,48,3,5,pirate,tangle_dark,magic_purple,shimmer_turquoise,bone,Smith,none
173,platinum_token,titanium,sapphire,720,48,3,4,wild,earthy_orange,lemon_green,firefly_lilac,bone,Everill,none
174,platinum_token,gold,amethyst,576,48,3,4,wild,exotic_turquoise,grosbeak_green,hornet_brown,bone,Audley,none
175,platinum_token,titanium,prism,720,48,3,5,wild,chocolate_brown,party_orange,hornet_brown,bone,Purcell,none
176,platinum_token,platinum,prism,576,48,3,5,wild,chocolate_brown,floyd_pink,firefly_lilac,bone,Mynatt,none
177,gold_token,platinum,emerald,864,48,3,4,wild,mystic_purple,lemon_green,assembly_purple,bone,Peters,none
178,platinum_token,platinum,amethyst,720,48,6,4,wild,mystic_purple,grosbeak_green,shimmer_turquoise,bone,Keen,none
179,platinum_token,platinum,sapphire,576,48,3,4,sovereign,peaceful_green,party_orange,wasp_yellow,golden,Maradona,none
180,gold_token,titanium,emerald,720,48,3,8,wild,tangle_dark,ocean_blue,hornet_brown,golden,Kynthia,none
181,platinum_token,platinum,sapphire,576,48,6,4,wild,peaceful_green,magic_purple,firefly_lilac,bone,Alekto,none
182,platinum_token,gold,sapphire,576,48,3,4,wild,peaceful_green,sunny_yellow,firefly_lilac,bone,Neoptolemus,none
183,titanium_token,platinum,prism,864,48,3,4,wild,earthy_orange,party_orange,hornet_brown,golden,Troilus,none
184,gold_token,titanium,emerald,864,48,6,4,wild,firing_red,party_orange,assembly_purple,golden,Hemera,none
185,gold_token,platinum,emerald,720,48,3,5,wild,mystic_purple,floyd_pink,wasp_yellow,bone,Arash,none
186,gold_token,platinum,emerald,864,72,3,4,wild,exotic_turquoise,party_orange,wasp_yellow,golden,Erna,none
187,gold_token,titanium,sapphire,720,48,3,4,wild,firing_red,ocean_blue,wasp_yellow,bone,Iphigeneia,none
188,platinum_token,gold,amethyst,720,48,3,5,sovereign,earthy_orange,magic_purple,shimmer_turquoise,bone,Niobe,none
189,titanium_token,titanium,emerald,864,60,3,5,wild,earthy_orange,ocean_blue,wasp_yellow,bone,Iocasta,none
190,platinum_token,titanium,sapphire,720,48,3,4,wild,mystic_purple,sunny_yellow,firefly_lilac,bone,Shantanu,none
191,platinum_token,titanium,emerald,576,48,3,4,wild,chocolate_brown,sunny_yellow,hornet_brown,bone,GwydionEuphrosyne,none
192,platinum_token,platinum,emerald,576,48,3,5,wild,exotic_turquoise,lemon_green,firefly_lilac,bone,Anubis,none
193,platinum_token,platinum,emerald,576,48,3,4,wild,peaceful_green,party_orange,wasp_yellow,bone,Mithras,none
194,gold_token,titanium,amethyst,576,60,3,5,wild,firing_red,grosbeak_green,firefly_lilac,bone,Shams,none
195,gold_token,gold,emerald,864,48,3,4,wild,earthy_orange,party_orange,firefly_lilac,bone,Jamshed,none
196,platinum_token,platinum,amethyst,576,48,6,4,wild,earthy_orange,ocean_blue,shimmer_turquoise,bone,Melia,none
197,platinum_token,platinum,amethyst,720,48,3,4,wild,mystic_purple,party_orange,shimmer_turquoise,bone,Thaleia,none
198,platinum_token,platinum,emerald,576,48,6,5,pirate,mystic_purple,floyd_pink,hornet_brown,golden,Jarl,none
199,titanium_token,titanium,sapphire,576,48,3,5,wild,exotic_turquoise,party_orange,shimmer_turquoise,golden,Iris,none
200,gold_token,platinum,emerald,864,60,3,4,wild,peaceful_green,party_orange,firefly_lilac,bone,Laokoon,none
201,platinum_token,gold,emerald,720,48,3,5,sovereign,tangle_dark,party_orange,wasp_yellow,bone,Sedna,none
202,titanium_token,platinum,amethyst,576,60,3,4,sovereign,chocolate_brown,floyd_pink,hornet_brown,bone,Nestor,none
203,gold_token,titanium,sapphire,576,48,3,4,wild,peaceful_green,party_orange,hornet_brown,bone,Vaishnavi,none
204,platinum_token,platinum,emerald,720,48,6,8,wild,firing_red,ocean_blue,wasp_yellow,bone,Menelaus,none
205,gold_token,gold,emerald,576,48,3,5,wild,earthy_orange,ocean_blue,hornet_brown,bone,Brokkr,none
206,titanium_token,platinum,amethyst,576,48,3,5,wild,tangle_dark,ocean_blue,assembly_purple,bone,Shivali,none
207,gold_token,platinum,prism,576,48,3,4,pirate,peaceful_green,sunny_yellow,wasp_yellow,golden,Metztli,none
208,gold_token,gold,amethyst,720,48,3,4,wild,chocolate_brown,magic_purple,wasp_yellow,bone,Cronus,none
209,gold_token,gold,amethyst,864,48,3,5,wild,earthy_orange,ocean_blue,hornet_brown,bone,Evander,none
210,platinum_token,titanium,sapphire,576,48,6,5,wild,earthy_orange,floyd_pink,shimmer_turquoise,rainbow,Kartikeya,none
211,gold_token,platinum,sapphire,576,48,3,4,wild,chocolate_brown,magic_purple,hornet_brown,golden,Atum,none
212,platinum_token,gold,prism,576,48,3,4,wild,tangle_dark,magic_purple,firefly_lilac,bone,Fionnuala,none
213,gold_token,platinum,prism,576,48,3,4,wild,peaceful_green,floyd_pink,shimmer_turquoise,golden,Kore,none
214,platinum_token,platinum,sapphire,576,72,3,4,wild,mystic_purple,party_orange,hornet_brown,rainbow,Idun,none
215,platinum_token,gold,kevlar,576,60,6,4,wild,tangle_dark,magic_purple,hornet_brown,rainbow,Pekko,none
216,platinum_token,gold,emerald,720,48,3,4,wild,exotic_turquoise,sunny_yellow,firefly_lilac,bone,Siv,none
217,gold_token,titanium,amethyst,576,48,6,4,wild,earthy_orange,magic_purple,wasp_yellow,bone,Uttara,none
218,platinum_token,gold,emerald,720,48,6,10,wild,tangle_dark,party_orange,firefly_lilac,golden,Giunone,none
219,platinum_token,titanium,sapphire,576,48,3,5,wild,tangle_dark,party_orange,shimmer_turquoise,golden,Rangi,none
220,gold_token,titanium,kevlar,576,48,3,5,sovereign,tangle_dark,sunny_yellow,hornet_brown,bone,Angharad,none
221,platinum_token,gold,kevlar,576,48,6,4,wild,earthy_orange,lemon_green,hornet_brown,rainbow,Melchior,none
222,gold_token,titanium,sapphire,576,60,3,5,wild,firing_red,sunny_yellow,hornet_brown,bone,Ningal,none
223,platinum_token,gold,kevlar,576,48,3,5,wild,exotic_turquoise,magic_purple,firefly_lilac,golden,'Ashtoret,none
224,gold_token,platinum,sapphire,576,48,3,5,wild,exotic_turquoise,lemon_green,hornet_brown,bone,Muirgen,none
225,platinum_token,platinum,emerald,576,48,3,4,wild,tangle_dark,grosbeak_green,hornet_brown,golden,Prometheus,none
226,gold_token,gold,prism,720,72,3,4,wild,earthy_orange,sunny_yellow,shimmer_turquoise,bone,Shivani,none
227,titanium_token,gold,sapphire,720,48,9,4,wild,exotic_turquoise,sunny_yellow,assembly_purple,golden,Tammuz,none
228,gold_token,platinum,kevlar,576,60,3,8,wild,peaceful_green,party_orange,wasp_yellow,golden,Iokaste,none
229,platinum_token,gold,emerald,720,48,3,4,wild,peaceful_green,sunny_yellow,hornet_brown,bone,Rashn,none
230,platinum_token,platinum,prism,576,48,3,4,wild,earthy_orange,party_orange,hornet_brown,bone,Hephaistos,none
231,platinum_token,titanium,emerald,720,48,3,4,wild,firing_red,floyd_pink,wasp_yellow,bone,Cynthia,none
232,platinum_token,titanium,kevlar,576,48,6,4,wild,firing_red,party_orange,hornet_brown,bone,Polymnia,none
233,platinum_token,gold,amethyst,576,48,3,8,wild,tangle_dark,floyd_pink,hornet_brown,bone,Culann,none
234,gold_token,gold,kevlar,576,48,3,4,wild,chocolate_brown,sunny_yellow,assembly_purple,bone,Sarosh,none
