,gadget Name,gadget Material,gadget Tickets,gadget: Total Tickets,gadget Odds (% chance),card_material Name,card_material Material,card_material Tickets,card_material: Total Tickets,card_material Odds (% chance),card_shield Name,card_shield Material,card_shield Tickets,card_shield: Total Tickets,card_shield Odds (% chance),card_bit Name,card_bit Material,card_bit Tickets,card_bit: Total Tickets,card_bit Odds (% chance),card_drift Name,card_drift Material,card_drift Tickets,card_drift: Total Tickets,card_drift Odds (% chance),card_mana Name,card_mana Material,card_mana Tickets,card_mana: Total Tickets,card_mana Odds (% chance),card_ingot Name,card_ingot Material,card_ingot Tickets,card_ingot: Total Tickets,card_ingot Odds (% chance),dragon_style Name,dragon_style Material,dragon_style Tickets,dragon_style: Total Tickets,dragon_style Odds (% chance),dragon_body Name,dragon_body Material,dragon_body Tickets,dragon_body: Total Tickets,dragon_body Odds (% chance),dragon_wings Name,dragon_wings Material,dragon_wings Tickets,dragon_wings: Total Tickets,dragon_wings Odds (% chance),dragon_eyes Name,dragon_eyes Material,dragon_eyes Tickets,dragon_eyes: Total Tickets,dragon_eyes Odds (% chance),dragon_all_horns Name,dragon_all_horns Material,dragon_all_horns Tickets,dragon_all_horns: Total Tickets,dragon_all_horns Odds (% chance),music Name,music Material,music Tickets,music: Total Tickets,music Odds (% chance)
Variant 12,titanium_token Variant 12,Material.016,15,100,15,titanium Variant 12,Titanium Card,20,100,20,sapphire Variant 12,Front Card NAVY,20,100,20,720 Variant 12,Bit,30,100,30,60 Variant 12,drift,15,100,15,3 Variant 12,Mana,80,100,80,4 Variant 12,ingot,60,100,60,wild Variant 12,No Material,900,1000,90,earthy_orange Variant 12,Cuerpo amarillo,14,100,14,party_orange Variant 12,Material.005,17,100,17,hornet_brown Variant 12,Ojos sauron,40,100,40,bone Variant 12,Huesos blancos,70,100,70,none Variant 12,No Material,99,100,99
Variant 13,platinum_token Variant 13,Moneda platino,50,100,50,platinum Variant 13,Platinium Card,50,100,50,amethyst Variant 13,Front Card Purple,25,100,25,720 Variant 13,Bit,30,100,30,48 Variant 13,drift,80,100,80,3 Variant 13,Mana,80,100,80,5 Variant 13,ingot,33,100,33,wild Variant 13,No Material,900,1000,90,tangle_dark Variant 13,Cuerpo negro,14,100,14,party_orange Variant 13,Material.005,17,100,17,wasp_yellow Variant 13,Ojos verde claro,25,100,25,bone Variant 13,Huesos blancos,70,100,70,none Variant 13,No Material,99,100,99
Variant 14,gold_token Variant 14,Moneda oro,35,100,35,titanium Variant 14,Titanium Card,20,100,20,emerald Variant 14,Front Card Colorful,30,100,30,576 Variant 14,Bit,50,100,50,48 Variant 14,drift,80,100,80,3 Variant 14,Mana,80,100,80,4 Variant 14,ingot,60,100,60,sovereign Variant 14,Gold Crown Sov1.001,75,1000,8,firing_red Variant 14,Cuerpo rojo,16,100,16,lemon_green Variant 14,Alas verdes,10,100,10,hornet_brown Variant 14,Ojos sauron,40,100,40,bone Variant 14,Huesos blancos,70,100,70,none Variant 14,No Material,99,100,99
Variant 15,platinum_token Variant 15,Moneda platino,50,100,50,platinum Variant 15,Platinium Card,50,100,50,sapphire Variant 15,Front Card NAVY,20,100,20,720 Variant 15,Bit,30,100,30,48 Variant 15,drift,80,100,80,3 Variant 15,Mana,80,100,80,4 Variant 15,ingot,60,100,60,wild Variant 15,No Material,900,1000,90,peaceful_green Variant 15,Cuerpo verde,14,100,14,grosbeak_green Variant 15,Material.003,5,100,5,hornet_brown Variant 15,Ojos sauron,40,100,40,bone Variant 15,Huesos blancos,70,100,70,none Variant 15,No Material,99,100,99
Variant 16,platinum_token Variant 16,Moneda platino,50,100,50,gold Variant 16,Middle Card Black,30,100,30,prism Variant 16,Front Card Rainbow,10,100,10,864 Variant 16,Bit,20,100,20,48 Variant 16,drift,80,100,80,6 Variant 16,Mana,15,100,15,5 Variant 16,ingot,33,100,33,wild Variant 16,No Material,900,1000,90,chocolate_brown Variant 16,Cuerpo marrón,14,100,14,magic_purple Variant 16,Material.004,17,100,17,hornet_brown Variant 16,Ojos sauron,40,100,40,bone Variant 16,Huesos blancos,70,100,70,none Variant 16,No Material,99,100,99
Variant 17,gold_token Variant 17,Moneda oro,35,100,35,platinum Variant 17,Platinium Card,50,100,50,prism Variant 17,Front Card Rainbow,10,100,10,720 Variant 17,Bit,30,100,30,48 Variant 17,drift,80,100,80,3 Variant 17,Mana,80,100,80,4 Variant 17,ingot,60,100,60,wild Variant 17,No Material,900,1000,90,firing_red Variant 17,Cuerpo rojo,16,100,16,ocean_blue Variant 17,Material.001,17,100,17,wasp_yellow Variant 17,Ojos verde claro,25,100,25,bone Variant 17,Huesos blancos,70,100,70,none Variant 17,No Material,99,100,99
Variant 18,gold_token Variant 18,Moneda oro,35,100,35,platinum Variant 18,Platinium Card,50,100,50,emerald Variant 18,Front Card Colorful,30,100,30,720 Variant 18,Bit,30,100,30,48 Variant 18,drift,80,100,80,3 Variant 18,Mana,80,100,80,8 Variant 18,ingot,4,100,4,sovereign Variant 18,Gold Crown Sov1.001,75,1000,8,firing_red Variant 18,Cuerpo rojo,16,100,16,magic_purple Variant 18,Material.004,17,100,17,hornet_brown Variant 18,Ojos sauron,40,100,40,bone Variant 18,Huesos blancos,70,100,70,none Variant 18,No Material,99,100,99
Variant 19,platinum_token Variant 19,Moneda platino,50,100,50,gold Variant 19,Middle Card Black,30,100,30,amethyst Variant 19,Front Card Purple,25,100,25,576 Variant 19,Bit,50,100,50,48 Variant 19,drift,80,100,80,3 Variant 19,Mana,80,100,80,4 Variant 19,ingot,60,100,60,wild Variant 19,No Material,900,1000,90,mystic_purple Variant 19,Cuerpo Morado,14,100,14,floyd_pink Variant 19,Alas rosadas,17,100,17,hornet_brown Variant 19,Ojos sauron,40,100,40,bone Variant 19,Huesos blancos,70,100,70,none Variant 19,No Material,99,100,99
Variant 20,platinum_token Variant 20,Moneda platino,50,100,50,gold Variant 20,Middle Card Black,30,100,30,emerald Variant 20,Front Card Colorful,30,100,30,576 Variant 20,Bit,50,100,50,48 Variant 20,drift,80,100,80,3 Variant 20,Mana,80,100,80,4 Variant 20,ingot,60,100,60,wild Variant 20,No Material,900,1000,90,peaceful_green Variant 20,Cuerpo verde,14,100,14,party_orange Variant 20,Material.005,17,100,17,shimmer_turquoise Variant 20,Ojos turquesa,10,100,10,bone Variant 20,Huesos blancos,70,100,70,none Variant 20,No Material,99,100,99
Variant 21,platinum_token Variant 21,Moneda platino,50,100,50,gold Variant 21,Middle Card Black,30,100,30,amethyst Variant 21,Front Card Purple,25,100,25,576 Variant 21,Bit,50,100,50,72 Variant 21,drift,5,100,5,3 Variant 21,Mana,80,100,80,4 Variant 21,ingot,60,100,60,wild Variant 21,No Material,900,1000,90,tangle_dark Variant 21,Cuerpo negro,14,100,14,sunny_yellow Variant 21,Material.002,17,100,17,hornet_brown Variant 21,Ojos sauron,40,100,40,golden Variant 21,Puas oro,25,100,25,none Variant 21,No Material,99,100,99
Variant 22,platinum_token Variant 22,Moneda platino,50,100,50,platinum Variant 22,Platinium Card,50,100,50,prism Variant 22,Front Card Rainbow,10,100,10,864 Variant 22,Bit,20,100,20,60 Variant 22,drift,15,100,15,3 Variant 22,Mana,80,100,80,5 Variant 22,ingot,33,100,33,wild Variant 22,No Material,900,1000,90,chocolate_brown Variant 22,Cuerpo marrón,14,100,14,lemon_green Variant 22,Alas verdes,10,100,10,shimmer_turquoise Variant 22,Ojos turquesa,10,100,10,golden Variant 22,Puas oro,25,100,25,none Variant 22,No Material,99,100,99
Variant 23,gold_token Variant 23,Moneda oro,35,100,35,platinum Variant 23,Platinium Card,50,100,50,amethyst Variant 23,Front Card Purple,25,100,25,720 Variant 23,Bit,30,100,30,48 Variant 23,drift,80,100,80,3 Variant 23,Mana,80,100,80,4 Variant 23,ingot,60,100,60,wild Variant 23,No Material,900,1000,90,peaceful_green Variant 23,Cuerpo verde,14,100,14,party_orange Variant 23,Material.005,17,100,17,assembly_purple Variant 23,Ojos morados,5,100,5,golden Variant 23,Puas oro,25,100,25,none Variant 23,No Material,99,100,99
Variant 24,gold_token Variant 24,Moneda oro,35,100,35,platinum Variant 24,Platinium Card,50,100,50,prism Variant 24,Front Card Rainbow,10,100,10,576 Variant 24,Bit,50,100,50,48 Variant 24,drift,80,100,80,3 Variant 24,Mana,80,100,80,4 Variant 24,ingot,60,100,60,wild Variant 24,No Material,900,1000,90,firing_red Variant 24,Cuerpo rojo,16,100,16,ocean_blue Variant 24,Material.001,17,100,17,hornet_brown Variant 24,Ojos sauron,40,100,40,rainbow Variant 24,Cuernos arcoiris,5,100,5,none Variant 24,No Material,99,100,99
Variant 25,platinum_token Variant 25,Moneda platino,50,100,50,platinum Variant 25,Platinium Card,50,100,50,emerald Variant 25,Front Card Colorful,30,100,30,720 Variant 25,Bit,30,100,30,48 Variant 25,drift,80,100,80,9 Variant 25,Mana,5,100,5,4 Variant 25,ingot,60,100,60,wild Variant 25,No Material,900,1000,90,tangle_dark Variant 25,Cuerpo negro,14,100,14,party_orange Variant 25,Material.005,17,100,17,hornet_brown Variant 25,Ojos sauron,40,100,40,golden Variant 25,Puas oro,25,100,25,tangle_dragons Variant 25,No Material,1,100,1
Variant 26,gold_token Variant 26,Moneda oro,35,100,35,platinum Variant 26,Platinium Card,50,100,50,amethyst Variant 26,Front Card Purple,25,100,25,576 Variant 26,Bit,50,100,50,48 Variant 26,drift,80,100,80,3 Variant 26,Mana,80,100,80,5 Variant 26,ingot,33,100,33,wild Variant 26,No Material,900,1000,90,earthy_orange Variant 26,Cuerpo amarillo,14,100,14,sunny_yellow Variant 26,Material.002,17,100,17,hornet_brown Variant 26,Ojos sauron,40,100,40,bone Variant 26,Huesos blancos,70,100,70,none Variant 26,No Material,99,100,99
Variant 27,gold_token Variant 27,Moneda oro,35,100,35,platinum Variant 27,Platinium Card,50,100,50,sapphire Variant 27,Front Card NAVY,20,100,20,720 Variant 27,Bit,30,100,30,48 Variant 27,drift,80,100,80,3 Variant 27,Mana,80,100,80,4 Variant 27,ingot,60,100,60,wild Variant 27,No Material,900,1000,90,mystic_purple Variant 27,Cuerpo Morado,14,100,14,magic_purple Variant 27,Material.004,17,100,17,hornet_brown Variant 27,Ojos sauron,40,100,40,bone Variant 27,Huesos blancos,70,100,70,none Variant 27,No Material,99,100,99
Variant 28,platinum_token Variant 28,Moneda platino,50,100,50,platinum Variant 28,Platinium Card,50,100,50,amethyst Variant 28,Front Card Purple,25,100,25,576 Variant 28,Bit,50,100,50,48 Variant 28,drift,80,100,80,3 Variant 28,Mana,80,100,80,4 Variant 28,ingot,60,100,60,wild Variant 28,No Material,900,1000,90,firing_red Variant 28,Cuerpo rojo,16,100,16,grosbeak_green Variant 28,Material.003,5,100,5,firefly_lilac Variant 28,Ojos rosados,20,100,20,bone Variant 28,Huesos blancos,70,100,70,none Variant 28,No Material,99,100,99
Variant 29,platinum_token Variant 29,Moneda platino,50,100,50,platinum Variant 29,Platinium Card,50,100,50,amethyst Variant 29,Front Card Purple,25,100,25,864 Variant 29,Bit,20,100,20,60 Variant 29,drift,15,100,15,3 Variant 29,Mana,80,100,80,8 Variant 29,ingot,4,100,4,wild Variant 29,No Material,900,1000,90,chocolate_brown Variant 29,Cuerpo marrón,14,100,14,floyd_pink Variant 29,Alas rosadas,17,100,17,firefly_lilac Variant 29,Ojos rosados,20,100,20,golden Variant 29,Puas oro,25,100,25,none Variant 29,No Material,99,100,99
Variant 30,gold_token Variant 30,Moneda oro,35,100,35,gold Variant 30,Middle Card Black,30,100,30,kevlar Variant 30,Front Card KEVLAR,15,100,15,720 Variant 30,Bit,30,100,30,48 Variant 30,drift,80,100,80,3 Variant 30,Mana,80,100,80,4 Variant 30,ingot,60,100,60,wild Variant 30,No Material,900,1000,90,peaceful_green Variant 30,Cuerpo verde,14,100,14,floyd_pink Variant 30,Alas rosadas,17,100,17,firefly_lilac Variant 30,Ojos rosados,20,100,20,bone Variant 30,Huesos blancos,70,100,70,none Variant 30,No Material,99,100,99
Variant 31,platinum_token Variant 31,Moneda platino,50,100,50,platinum Variant 31,Platinium Card,50,100,50,amethyst Variant 31,Front Card Purple,25,100,25,864 Variant 31,Bit,20,100,20,48 Variant 31,drift,80,100,80,6 Variant 31,Mana,15,100,15,8 Variant 31,ingot,4,100,4,wild Variant 31,No Material,900,1000,90,earthy_orange Variant 31,Cuerpo amarillo,14,100,14,ocean_blue Variant 31,Material.001,17,100,17,assembly_purple Variant 31,Ojos morados,5,100,5,golden Variant 31,Puas oro,25,100,25,none Variant 31,No Material,99,100,99
Variant 32,gold_token Variant 32,Moneda oro,35,100,35,gold Variant 32,Middle Card Black,30,100,30,emerald Variant 32,Front Card Colorful,30,100,30,720 Variant 32,Bit,30,100,30,60 Variant 32,drift,15,100,15,3 Variant 32,Mana,80,100,80,5 Variant 32,ingot,33,100,33,wild Variant 32,No Material,900,1000,90,firing_red Variant 32,Cuerpo rojo,16,100,16,ocean_blue Variant 32,Material.001,17,100,17,hornet_brown Variant 32,Ojos sauron,40,100,40,bone Variant 32,Huesos blancos,70,100,70,none Variant 32,No Material,99,100,99
Variant 33,gold_token Variant 33,Moneda oro,35,100,35,titanium Variant 33,Titanium Card,20,100,20,emerald Variant 33,Front Card Colorful,30,100,30,864 Variant 33,Bit,20,100,20,48 Variant 33,drift,80,100,80,3 Variant 33,Mana,80,100,80,4 Variant 33,ingot,60,100,60,wild Variant 33,No Material,900,1000,90,tangle_dark Variant 33,Cuerpo negro,14,100,14,floyd_pink Variant 33,Alas rosadas,17,100,17,hornet_brown Variant 33,Ojos sauron,40,100,40,golden Variant 33,Puas oro,25,100,25,none Variant 33,No Material,99,100,99
Variant 34,platinum_token Variant 34,Moneda platino,50,100,50,platinum Variant 34,Platinium Card,50,100,50,emerald Variant 34,Front Card Colorful,30,100,30,576 Variant 34,Bit,50,100,50,48 Variant 34,drift,80,100,80,3 Variant 34,Mana,80,100,80,4 Variant 34,ingot,60,100,60,wild Variant 34,No Material,900,1000,90,earthy_orange Variant 34,Cuerpo amarillo,14,100,14,ocean_blue Variant 34,Material.001,17,100,17,hornet_brown Variant 34,Ojos sauron,40,100,40,bone Variant 34,Huesos blancos,70,100,70,none Variant 34,No Material,99,100,99
Variant 35,titanium_token Variant 35,Material.016,15,100,15,titanium Variant 35,Titanium Card,20,100,20,emerald Variant 35,Front Card Colorful,30,100,30,864 Variant 35,Bit,20,100,20,48 Variant 35,drift,80,100,80,3 Variant 35,Mana,80,100,80,5 Variant 35,ingot,33,100,33,wild Variant 35,No Material,900,1000,90,tangle_dark Variant 35,Cuerpo negro,14,100,14,party_orange Variant 35,Material.005,17,100,17,firefly_lilac Variant 35,Ojos rosados,20,100,20,bone Variant 35,Huesos blancos,70,100,70,none Variant 35,No Material,99,100,99
Variant 36,gold_token Variant 36,Moneda oro,35,100,35,gold Variant 36,Middle Card Black,30,100,30,emerald Variant 36,Front Card Colorful,30,100,30,576 Variant 36,Bit,50,100,50,48 Variant 36,drift,80,100,80,3 Variant 36,Mana,80,100,80,4 Variant 36,ingot,60,100,60,pirate Variant 36,Parche,25,1000,2,tangle_dark Variant 36,Cuerpo negro,14,100,14,ocean_blue Variant 36,Material.001,17,100,17,hornet_brown Variant 36,Ojos sauron,40,100,40,bone Variant 36,Huesos blancos,70,100,70,none Variant 36,No Material,99,100,99
Variant 37,platinum_token Variant 37,Moneda platino,50,100,50,platinum Variant 37,Platinium Card,50,100,50,emerald Variant 37,Front Card Colorful,30,100,30,576 Variant 37,Bit,50,100,50,60 Variant 37,drift,15,100,15,3 Variant 37,Mana,80,100,80,4 Variant 37,ingot,60,100,60,wild Variant 37,No Material,900,1000,90,earthy_orange Variant 37,Cuerpo amarillo,14,100,14,party_orange Variant 37,Material.005,17,100,17,hornet_brown Variant 37,Ojos sauron,40,100,40,bone Variant 37,Huesos blancos,70,100,70,none Variant 37,No Material,99,100,99
Variant 38,platinum_token Variant 38,Moneda platino,50,100,50,titanium Variant 38,Titanium Card,20,100,20,emerald Variant 38,Front Card Colorful,30,100,30,720 Variant 38,Bit,30,100,30,48 Variant 38,drift,80,100,80,3 Variant 38,Mana,80,100,80,4 Variant 38,ingot,60,100,60,wild Variant 38,No Material,900,1000,90,chocolate_brown Variant 38,Cuerpo marrón,14,100,14,sunny_yellow Variant 38,Material.002,17,100,17,firefly_lilac Variant 38,Ojos rosados,20,100,20,golden Variant 38,Puas oro,25,100,25,none Variant 38,No Material,99,100,99
Variant 39,platinum_token Variant 39,Moneda platino,50,100,50,gold Variant 39,Middle Card Black,30,100,30,emerald Variant 39,Front Card Colorful,30,100,30,576 Variant 39,Bit,50,100,50,48 Variant 39,drift,80,100,80,3 Variant 39,Mana,80,100,80,4 Variant 39,ingot,60,100,60,wild Variant 39,No Material,900,1000,90,mystic_purple Variant 39,Cuerpo Morado,14,100,14,grosbeak_green Variant 39,Material.003,5,100,5,hornet_brown Variant 39,Ojos sauron,40,100,40,golden Variant 39,Puas oro,25,100,25,none Variant 39,No Material,99,100,99
Variant 40,gold_token Variant 40,Moneda oro,35,100,35,titanium Variant 40,Titanium Card,20,100,20,sapphire Variant 40,Front Card NAVY,20,100,20,576 Variant 40,Bit,50,100,50,48 Variant 40,drift,80,100,80,3 Variant 40,Mana,80,100,80,5 Variant 40,ingot,33,100,33,wild Variant 40,No Material,900,1000,90,exotic_turquoise Variant 40,Cuerpo turquesa,14,100,14,lemon_green Variant 40,Alas verdes,10,100,10,hornet_brown Variant 40,Ojos sauron,40,100,40,bone Variant 40,Huesos blancos,70,100,70,none Variant 40,No Material,99,100,99
Variant 41,platinum_token Variant 41,Moneda platino,50,100,50,platinum Variant 41,Platinium Card,50,100,50,emerald Variant 41,Front Card Colorful,30,100,30,576 Variant 41,Bit,50,100,50,48 Variant 41,drift,80,100,80,3 Variant 41,Mana,80,100,80,4 Variant 41,ingot,60,100,60,sovereign Variant 41,Gold Crown Sov1.001,75,1000,8,peaceful_green Variant 41,Cuerpo verde,14,100,14,floyd_pink Variant 41,Alas rosadas,17,100,17,hornet_brown Variant 41,Ojos sauron,40,100,40,bone Variant 41,Huesos blancos,70,100,70,none Variant 41,No Material,99,100,99
Variant 42,platinum_token Variant 42,Moneda platino,50,100,50,platinum Variant 42,Platinium Card,50,100,50,amethyst Variant 42,Front Card Purple,25,100,25,576 Variant 42,Bit,50,100,50,48 Variant 42,drift,80,100,80,3 Variant 42,Mana,80,100,80,4 Variant 42,ingot,60,100,60,wild Variant 42,No Material,900,1000,90,exotic_turquoise Variant 42,Cuerpo turquesa,14,100,14,ocean_blue Variant 42,Material.001,17,100,17,wasp_yellow Variant 42,Ojos verde claro,25,100,25,golden Variant 42,Puas oro,25,100,25,none Variant 42,No Material,99,100,99
Variant 43,gold_token Variant 43,Moneda oro,35,100,35,platinum Variant 43,Platinium Card,50,100,50,sapphire Variant 43,Front Card NAVY,20,100,20,720 Variant 43,Bit,30,100,30,48 Variant 43,drift,80,100,80,3 Variant 43,Mana,80,100,80,4 Variant 43,ingot,60,100,60,wild Variant 43,No Material,900,1000,90,chocolate_brown Variant 43,Cuerpo marrón,14,100,14,floyd_pink Variant 43,Alas rosadas,17,100,17,firefly_lilac Variant 43,Ojos rosados,20,100,20,bone Variant 43,Huesos blancos,70,100,70,none Variant 43,No Material,99,100,99
Variant 44,gold_token Variant 44,Moneda oro,35,100,35,gold Variant 44,Middle Card Black,30,100,30,amethyst Variant 44,Front Card Purple,25,100,25,576 Variant 44,Bit,50,100,50,48 Variant 44,drift,80,100,80,3 Variant 44,Mana,80,100,80,5 Variant 44,ingot,33,100,33,sovereign Variant 44,Gold Crown Sov1.001,75,1000,8,chocolate_brown Variant 44,Cuerpo marrón,14,100,14,ocean_blue Variant 44,Material.001,17,100,17,firefly_lilac Variant 44,Ojos rosados,20,100,20,bone Variant 44,Huesos blancos,70,100,70,none Variant 44,No Material,99,100,99
