,gadget Name,gadget Material,gadget Tickets,gadget: Total Tickets,gadget Odds (% chance),card_material Name,card_material Material,card_material Tickets,card_material: Total Tickets,card_material Odds (% chance),card_shield Name,card_shield Material,card_shield Tickets,card_shield: Total Tickets,card_shield Odds (% chance),card_bit Name,card_bit Material,card_bit Tickets,card_bit: Total Tickets,card_bit Odds (% chance),card_drift Name,card_drift Material,card_drift Tickets,card_drift: Total Tickets,card_drift Odds (% chance),card_mana Name,card_mana Material,card_mana Tickets,card_mana: Total Tickets,card_mana Odds (% chance),card_ingot Name,card_ingot Material,card_ingot Tickets,card_ingot: Total Tickets,card_ingot Odds (% chance),dragon_style Name,dragon_style Material,dragon_style Tickets,dragon_style: Total Tickets,dragon_style Odds (% chance),dragon_body Name,dragon_body Material,dragon_body Tickets,dragon_body: Total Tickets,dragon_body Odds (% chance),dragon_wings Name,dragon_wings Material,dragon_wings Tickets,dragon_wings: Total Tickets,dragon_wings Odds (% chance),dragon_eyes Name,dragon_eyes Material,dragon_eyes Tickets,dragon_eyes: Total Tickets,dragon_eyes Odds (% chance),dragon_all_horns Name,dragon_all_horns Material,dragon_all_horns Tickets,dragon_all_horns: Total Tickets,dragon_all_horns Odds (% chance),music Name,music Material,music Tickets,music: Total Tickets,music Odds (% chance)
Variant 11,gold_token Variant 11,Moneda oro,35,100,35,gold Variant 11,Middle Card Black,30,100,30,prism Variant 11,Front Card Rainbow,10,100,10,576 Variant 11,Bit,50,100,50,60 Variant 11,drift,15,100,15,3 Variant 11,Mana,80,100,80,4 Variant 11,ingot,60,100,60,wild Variant 11,No Material,900,1000,90,firing_red Variant 11,Cuerpo rojo,16,100,16,magic_purple Variant 11,Material.004,17,100,17,wasp_yellow Variant 11,Ojos verde claro,25,100,25,bone Variant 11,Huesos blancos,70,100,70,none Variant 11,No Material,99,100,99
Variant 12,platinum_token Variant 12,Moneda platino,50,100,50,gold Variant 12,Middle Card Black,30,100,30,kevlar Variant 12,Front Card KEVLAR,15,100,15,864 Variant 12,Bit,20,100,20,48 Variant 12,drift,80,100,80,3 Variant 12,Mana,80,100,80,4 Variant 12,ingot,60,100,60,wild Variant 12,No Material,900,1000,90,peaceful_green Variant 12,Cuerpo verde,14,100,14,party_orange Variant 12,Material.005,17,100,17,shimmer_turquoise Variant 12,Ojos turquesa,10,100,10,golden Variant 12,Puas oro,25,100,25,none Variant 12,No Material,99,100,99
Variant 13,gold_token Variant 13,Moneda oro,35,100,35,platinum Variant 13,Platinium Card,50,100,50,kevlar Variant 13,Front Card KEVLAR,15,100,15,576 Variant 13,Bit,50,100,50,48 Variant 13,drift,80,100,80,3 Variant 13,Mana,80,100,80,8 Variant 13,ingot,4,100,4,wild Variant 13,No Material,900,1000,90,tangle_dark Variant 13,Cuerpo negro,14,100,14,grosbeak_green Variant 13,Material.003,5,100,5,hornet_brown Variant 13,Ojos sauron,40,100,40,bone Variant 13,Huesos blancos,70,100,70,none Variant 13,No Material,99,100,99
Variant 14,gold_token Variant 14,Moneda oro,35,100,35,platinum Variant 14,Platinium Card,50,100,50,sapphire Variant 14,Front Card NAVY,20,100,20,720 Variant 14,Bit,30,100,30,60 Variant 14,drift,15,100,15,3 Variant 14,Mana,80,100,80,5 Variant 14,ingot,33,100,33,wild Variant 14,No Material,900,1000,90,earthy_orange Variant 14,Cuerpo amarillo,14,100,14,floyd_pink Variant 14,Alas rosadas,17,100,17,firefly_lilac Variant 14,Ojos rosados,20,100,20,rainbow Variant 14,Cuernos arcoiris,5,100,5,none Variant 14,No Material,99,100,99
Variant 15,platinum_token Variant 15,Moneda platino,50,100,50,gold Variant 15,Middle Card Black,30,100,30,sapphire Variant 15,Front Card NAVY,20,100,20,720 Variant 15,Bit,30,100,30,48 Variant 15,drift,80,100,80,3 Variant 15,Mana,80,100,80,5 Variant 15,ingot,33,100,33,wild Variant 15,No Material,900,1000,90,chocolate_brown Variant 15,Cuerpo marrón,14,100,14,sunny_yellow Variant 15,Material.002,17,100,17,firefly_lilac Variant 15,Ojos rosados,20,100,20,rainbow Variant 15,Cuernos arcoiris,5,100,5,tangle_dragons Variant 15,No Material,1,100,1
Variant 16,titanium_token Variant 16,Material.016,15,100,15,platinum Variant 16,Platinium Card,50,100,50,sapphire Variant 16,Front Card NAVY,20,100,20,720 Variant 16,Bit,30,100,30,48 Variant 16,drift,80,100,80,3 Variant 16,Mana,80,100,80,4 Variant 16,ingot,60,100,60,wild Variant 16,No Material,900,1000,90,peaceful_green Variant 16,Cuerpo verde,14,100,14,lemon_green Variant 16,Alas verdes,10,100,10,hornet_brown Variant 16,Ojos sauron,40,100,40,bone Variant 16,Huesos blancos,70,100,70,none Variant 16,No Material,99,100,99
Variant 17,gold_token Variant 17,Moneda oro,35,100,35,gold Variant 17,Middle Card Black,30,100,30,emerald Variant 17,Front Card Colorful,30,100,30,720 Variant 17,Bit,30,100,30,60 Variant 17,drift,15,100,15,3 Variant 17,Mana,80,100,80,10 Variant 17,ingot,2,100,2,wild Variant 17,No Material,900,1000,90,chocolate_brown Variant 17,Cuerpo marrón,14,100,14,party_orange Variant 17,Material.005,17,100,17,firefly_lilac Variant 17,Ojos rosados,20,100,20,bone Variant 17,Huesos blancos,70,100,70,none Variant 17,No Material,99,100,99
Variant 18,platinum_token Variant 18,Moneda platino,50,100,50,gold Variant 18,Middle Card Black,30,100,30,sapphire Variant 18,Front Card NAVY,20,100,20,864 Variant 18,Bit,20,100,20,48 Variant 18,drift,80,100,80,3 Variant 18,Mana,80,100,80,4 Variant 18,ingot,60,100,60,wild Variant 18,No Material,900,1000,90,tangle_dark Variant 18,Cuerpo negro,14,100,14,sunny_yellow Variant 18,Material.002,17,100,17,wasp_yellow Variant 18,Ojos verde claro,25,100,25,bone Variant 18,Huesos blancos,70,100,70,none Variant 18,No Material,99,100,99
Variant 19,platinum_token Variant 19,Moneda platino,50,100,50,titanium Variant 19,Titanium Card,20,100,20,emerald Variant 19,Front Card Colorful,30,100,30,576 Variant 19,Bit,50,100,50,60 Variant 19,drift,15,100,15,3 Variant 19,Mana,80,100,80,5 Variant 19,ingot,33,100,33,wild Variant 19,No Material,900,1000,90,earthy_orange Variant 19,Cuerpo amarillo,14,100,14,sunny_yellow Variant 19,Material.002,17,100,17,wasp_yellow Variant 19,Ojos verde claro,25,100,25,golden Variant 19,Puas oro,25,100,25,none Variant 19,No Material,99,100,99
Variant 20,gold_token Variant 20,Moneda oro,35,100,35,platinum Variant 20,Platinium Card,50,100,50,emerald Variant 20,Front Card Colorful,30,100,30,576 Variant 20,Bit,50,100,50,48 Variant 20,drift,80,100,80,3 Variant 20,Mana,80,100,80,4 Variant 20,ingot,60,100,60,wild Variant 20,No Material,900,1000,90,mystic_purple Variant 20,Cuerpo Morado,14,100,14,sunny_yellow Variant 20,Material.002,17,100,17,hornet_brown Variant 20,Ojos sauron,40,100,40,bone Variant 20,Huesos blancos,70,100,70,none Variant 20,No Material,99,100,99
Variant 21,platinum_token Variant 21,Moneda platino,50,100,50,platinum Variant 21,Platinium Card,50,100,50,kevlar Variant 21,Front Card KEVLAR,15,100,15,576 Variant 21,Bit,50,100,50,48 Variant 21,drift,80,100,80,3 Variant 21,Mana,80,100,80,4 Variant 21,ingot,60,100,60,sovereign Variant 21,Gold Crown Sov1.001,75,1000,8,mystic_purple Variant 21,Cuerpo Morado,14,100,14,party_orange Variant 21,Material.005,17,100,17,hornet_brown Variant 21,Ojos sauron,40,100,40,bone Variant 21,Huesos blancos,70,100,70,none Variant 21,No Material,99,100,99
Variant 22,platinum_token Variant 22,Moneda platino,50,100,50,platinum Variant 22,Platinium Card,50,100,50,amethyst Variant 22,Front Card Purple,25,100,25,576 Variant 22,Bit,50,100,50,60 Variant 22,drift,15,100,15,3 Variant 22,Mana,80,100,80,4 Variant 22,ingot,60,100,60,wild Variant 22,No Material,900,1000,90,earthy_orange Variant 22,Cuerpo amarillo,14,100,14,floyd_pink Variant 22,Alas rosadas,17,100,17,hornet_brown Variant 22,Ojos sauron,40,100,40,bone Variant 22,Huesos blancos,70,100,70,none Variant 22,No Material,99,100,99
Variant 23,gold_token Variant 23,Moneda oro,35,100,35,gold Variant 23,Middle Card Black,30,100,30,kevlar Variant 23,Front Card KEVLAR,15,100,15,720 Variant 23,Bit,30,100,30,48 Variant 23,drift,80,100,80,6 Variant 23,Mana,15,100,15,4 Variant 23,ingot,60,100,60,wild Variant 23,No Material,900,1000,90,tangle_dark Variant 23,Cuerpo negro,14,100,14,floyd_pink Variant 23,Alas rosadas,17,100,17,firefly_lilac Variant 23,Ojos rosados,20,100,20,golden Variant 23,Puas oro,25,100,25,none Variant 23,No Material,99,100,99
Variant 24,gold_token Variant 24,Moneda oro,35,100,35,titanium Variant 24,Titanium Card,20,100,20,sapphire Variant 24,Front Card NAVY,20,100,20,576 Variant 24,Bit,50,100,50,48 Variant 24,drift,80,100,80,3 Variant 24,Mana,80,100,80,5 Variant 24,ingot,33,100,33,wild Variant 24,No Material,900,1000,90,tangle_dark Variant 24,Cuerpo negro,14,100,14,sunny_yellow Variant 24,Material.002,17,100,17,hornet_brown Variant 24,Ojos sauron,40,100,40,bone Variant 24,Huesos blancos,70,100,70,none Variant 24,No Material,99,100,99
Variant 25,platinum_token Variant 25,Moneda platino,50,100,50,titanium Variant 25,Titanium Card,20,100,20,emerald Variant 25,Front Card Colorful,30,100,30,864 Variant 25,Bit,20,100,20,48 Variant 25,drift,80,100,80,6 Variant 25,Mana,15,100,15,4 Variant 25,ingot,60,100,60,wild Variant 25,No Material,900,1000,90,mystic_purple Variant 25,Cuerpo Morado,14,100,14,sunny_yellow Variant 25,Material.002,17,100,17,firefly_lilac Variant 25,Ojos rosados,20,100,20,bone Variant 25,Huesos blancos,70,100,70,none Variant 25,No Material,99,100,99
Variant 26,gold_token Variant 26,Moneda oro,35,100,35,titanium Variant 26,Titanium Card,20,100,20,sapphire Variant 26,Front Card NAVY,20,100,20,576 Variant 26,Bit,50,100,50,48 Variant 26,drift,80,100,80,3 Variant 26,Mana,80,100,80,4 Variant 26,ingot,60,100,60,wild Variant 26,No Material,900,1000,90,peaceful_green Variant 26,Cuerpo verde,14,100,14,sunny_yellow Variant 26,Material.002,17,100,17,hornet_brown Variant 26,Ojos sauron,40,100,40,bone Variant 26,Huesos blancos,70,100,70,none Variant 26,No Material,99,100,99
Variant 27,titanium_token Variant 27,Material.016,15,100,15,platinum Variant 27,Platinium Card,50,100,50,kevlar Variant 27,Front Card KEVLAR,15,100,15,576 Variant 27,Bit,50,100,50,60 Variant 27,drift,15,100,15,3 Variant 27,Mana,80,100,80,5 Variant 27,ingot,33,100,33,wild Variant 27,No Material,900,1000,90,mystic_purple Variant 27,Cuerpo Morado,14,100,14,floyd_pink Variant 27,Alas rosadas,17,100,17,firefly_lilac Variant 27,Ojos rosados,20,100,20,bone Variant 27,Huesos blancos,70,100,70,none Variant 27,No Material,99,100,99
Variant 28,platinum_token Variant 28,Moneda platino,50,100,50,platinum Variant 28,Platinium Card,50,100,50,kevlar Variant 28,Front Card KEVLAR,15,100,15,720 Variant 28,Bit,30,100,30,48 Variant 28,drift,80,100,80,6 Variant 28,Mana,15,100,15,4 Variant 28,ingot,60,100,60,wild Variant 28,No Material,900,1000,90,peaceful_green Variant 28,Cuerpo verde,14,100,14,magic_purple Variant 28,Material.004,17,100,17,shimmer_turquoise Variant 28,Ojos turquesa,10,100,10,bone Variant 28,Huesos blancos,70,100,70,none Variant 28,No Material,99,100,99
Variant 29,gold_token Variant 29,Moneda oro,35,100,35,platinum Variant 29,Platinium Card,50,100,50,emerald Variant 29,Front Card Colorful,30,100,30,864 Variant 29,Bit,20,100,20,48 Variant 29,drift,80,100,80,3 Variant 29,Mana,80,100,80,4 Variant 29,ingot,60,100,60,wild Variant 29,No Material,900,1000,90,mystic_purple Variant 29,Cuerpo Morado,14,100,14,floyd_pink Variant 29,Alas rosadas,17,100,17,wasp_yellow Variant 29,Ojos verde claro,25,100,25,bone Variant 29,Huesos blancos,70,100,70,none Variant 29,No Material,99,100,99
Variant 30,gold_token Variant 30,Moneda oro,35,100,35,platinum Variant 30,Platinium Card,50,100,50,amethyst Variant 30,Front Card Purple,25,100,25,576 Variant 30,Bit,50,100,50,48 Variant 30,drift,80,100,80,3 Variant 30,Mana,80,100,80,5 Variant 30,ingot,33,100,33,wild Variant 30,No Material,900,1000,90,earthy_orange Variant 30,Cuerpo amarillo,14,100,14,ocean_blue Variant 30,Material.001,17,100,17,wasp_yellow Variant 30,Ojos verde claro,25,100,25,rainbow Variant 30,Cuernos arcoiris,5,100,5,none Variant 30,No Material,99,100,99
Variant 31,gold_token Variant 31,Moneda oro,35,100,35,gold Variant 31,Middle Card Black,30,100,30,amethyst Variant 31,Front Card Purple,25,100,25,576 Variant 31,Bit,50,100,50,48 Variant 31,drift,80,100,80,3 Variant 31,Mana,80,100,80,5 Variant 31,ingot,33,100,33,wild Variant 31,No Material,900,1000,90,exotic_turquoise Variant 31,Cuerpo turquesa,14,100,14,magic_purple Variant 31,Material.004,17,100,17,hornet_brown Variant 31,Ojos sauron,40,100,40,bone Variant 31,Huesos blancos,70,100,70,none Variant 31,No Material,99,100,99
Variant 32,platinum_token Variant 32,Moneda platino,50,100,50,titanium Variant 32,Titanium Card,20,100,20,amethyst Variant 32,Front Card Purple,25,100,25,576 Variant 32,Bit,50,100,50,60 Variant 32,drift,15,100,15,3 Variant 32,Mana,80,100,80,4 Variant 32,ingot,60,100,60,wild Variant 32,No Material,900,1000,90,mystic_purple Variant 32,Cuerpo Morado,14,100,14,party_orange Variant 32,Material.005,17,100,17,firefly_lilac Variant 32,Ojos rosados,20,100,20,bone Variant 32,Huesos blancos,70,100,70,none Variant 32,No Material,99,100,99
Variant 33,platinum_token Variant 33,Moneda platino,50,100,50,gold Variant 33,Middle Card Black,30,100,30,emerald Variant 33,Front Card Colorful,30,100,30,576 Variant 33,Bit,50,100,50,48 Variant 33,drift,80,100,80,3 Variant 33,Mana,80,100,80,5 Variant 33,ingot,33,100,33,wild Variant 33,No Material,900,1000,90,firing_red Variant 33,Cuerpo rojo,16,100,16,sunny_yellow Variant 33,Material.002,17,100,17,hornet_brown Variant 33,Ojos sauron,40,100,40,golden Variant 33,Puas oro,25,100,25,none Variant 33,No Material,99,100,99
Variant 34,platinum_token Variant 34,Moneda platino,50,100,50,gold Variant 34,Middle Card Black,30,100,30,sapphire Variant 34,Front Card NAVY,20,100,20,720 Variant 34,Bit,30,100,30,48 Variant 34,drift,80,100,80,3 Variant 34,Mana,80,100,80,4 Variant 34,ingot,60,100,60,wild Variant 34,No Material,900,1000,90,peaceful_green Variant 34,Cuerpo verde,14,100,14,lemon_green Variant 34,Alas verdes,10,100,10,hornet_brown Variant 34,Ojos sauron,40,100,40,bone Variant 34,Huesos blancos,70,100,70,none Variant 34,No Material,99,100,99
Variant 35,platinum_token Variant 35,Moneda platino,50,100,50,titanium Variant 35,Titanium Card,20,100,20,sapphire Variant 35,Front Card NAVY,20,100,20,576 Variant 35,Bit,50,100,50,48 Variant 35,drift,80,100,80,3 Variant 35,Mana,80,100,80,4 Variant 35,ingot,60,100,60,wild Variant 35,No Material,900,1000,90,firing_red Variant 35,Cuerpo rojo,16,100,16,party_orange Variant 35,Material.005,17,100,17,firefly_lilac Variant 35,Ojos rosados,20,100,20,bone Variant 35,Huesos blancos,70,100,70,none Variant 35,No Material,99,100,99
Variant 36,titanium_token Variant 36,Material.016,15,100,15,platinum Variant 36,Platinium Card,50,100,50,kevlar Variant 36,Front Card KEVLAR,15,100,15,720 Variant 36,Bit,30,100,30,48 Variant 36,drift,80,100,80,3 Variant 36,Mana,80,100,80,4 Variant 36,ingot,60,100,60,wild Variant 36,No Material,900,1000,90,tangle_dark Variant 36,Cuerpo negro,14,100,14,magic_purple Variant 36,Material.004,17,100,17,wasp_yellow Variant 36,Ojos verde claro,25,100,25,bone Variant 36,Huesos blancos,70,100,70,none Variant 36,No Material,99,100,99
Variant 37,platinum_token Variant 37,Moneda platino,50,100,50,gold Variant 37,Middle Card Black,30,100,30,prism Variant 37,Front Card Rainbow,10,100,10,576 Variant 37,Bit,50,100,50,48 Variant 37,drift,80,100,80,9 Variant 37,Mana,5,100,5,4 Variant 37,ingot,60,100,60,wild Variant 37,No Material,900,1000,90,mystic_purple Variant 37,Cuerpo Morado,14,100,14,floyd_pink Variant 37,Alas rosadas,17,100,17,firefly_lilac Variant 37,Ojos rosados,20,100,20,bone Variant 37,Huesos blancos,70,100,70,none Variant 37,No Material,99,100,99
Variant 38,titanium_token Variant 38,Material.016,15,100,15,gold Variant 38,Middle Card Black,30,100,30,emerald Variant 38,Front Card Colorful,30,100,30,576 Variant 38,Bit,50,100,50,48 Variant 38,drift,80,100,80,3 Variant 38,Mana,80,100,80,4 Variant 38,ingot,60,100,60,wild Variant 38,No Material,900,1000,90,mystic_purple Variant 38,Cuerpo Morado,14,100,14,sunny_yellow Variant 38,Material.002,17,100,17,hornet_brown Variant 38,Ojos sauron,40,100,40,bone Variant 38,Huesos blancos,70,100,70,none Variant 38,No Material,99,100,99
Variant 39,platinum_token Variant 39,Moneda platino,50,100,50,titanium Variant 39,Titanium Card,20,100,20,amethyst Variant 39,Front Card Purple,25,100,25,864 Variant 39,Bit,20,100,20,48 Variant 39,drift,80,100,80,3 Variant 39,Mana,80,100,80,4 Variant 39,ingot,60,100,60,wild Variant 39,No Material,900,1000,90,mystic_purple Variant 39,Cuerpo Morado,14,100,14,floyd_pink Variant 39,Alas rosadas,17,100,17,hornet_brown Variant 39,Ojos sauron,40,100,40,bone Variant 39,Huesos blancos,70,100,70,none Variant 39,No Material,99,100,99
Variant 40,gold_token Variant 40,Moneda oro,35,100,35,platinum Variant 40,Platinium Card,50,100,50,prism Variant 40,Front Card Rainbow,10,100,10,576 Variant 40,Bit,50,100,50,48 Variant 40,drift,80,100,80,3 Variant 40,Mana,80,100,80,5 Variant 40,ingot,33,100,33,sovereign Variant 40,Gold Crown Sov1.001,75,1000,8,firing_red Variant 40,Cuerpo rojo,16,100,16,sunny_yellow Variant 40,Material.002,17,100,17,hornet_brown Variant 40,Ojos sauron,40,100,40,golden Variant 40,Puas oro,25,100,25,none Variant 40,No Material,99,100,99
Variant 41,titanium_token Variant 41,Material.016,15,100,15,platinum Variant 41,Platinium Card,50,100,50,emerald Variant 41,Front Card Colorful,30,100,30,720 Variant 41,Bit,30,100,30,48 Variant 41,drift,80,100,80,3 Variant 41,Mana,80,100,80,4 Variant 41,ingot,60,100,60,wild Variant 41,No Material,900,1000,90,mystic_purple Variant 41,Cuerpo Morado,14,100,14,ocean_blue Variant 41,Material.001,17,100,17,firefly_lilac Variant 41,Ojos rosados,20,100,20,bone Variant 41,Huesos blancos,70,100,70,none Variant 41,No Material,99,100,99
Variant 42,gold_token Variant 42,Moneda oro,35,100,35,platinum Variant 42,Platinium Card,50,100,50,emerald Variant 42,Front Card Colorful,30,100,30,720 Variant 42,Bit,30,100,30,48 Variant 42,drift,80,100,80,3 Variant 42,Mana,80,100,80,4 Variant 42,ingot,60,100,60,wild Variant 42,No Material,900,1000,90,chocolate_brown Variant 42,Cuerpo marrón,14,100,14,floyd_pink Variant 42,Alas rosadas,17,100,17,hornet_brown Variant 42,Ojos sauron,40,100,40,golden Variant 42,Puas oro,25,100,25,none Variant 42,No Material,99,100,99
Variant 43,platinum_token Variant 43,Moneda platino,50,100,50,platinum Variant 43,Platinium Card,50,100,50,amethyst Variant 43,Front Card Purple,25,100,25,576 Variant 43,Bit,50,100,50,48 Variant 43,drift,80,100,80,3 Variant 43,Mana,80,100,80,4 Variant 43,ingot,60,100,60,wild Variant 43,No Material,900,1000,90,exotic_turquoise Variant 43,Cuerpo turquesa,14,100,14,magic_purple Variant 43,Material.004,17,100,17,firefly_lilac Variant 43,Ojos rosados,20,100,20,golden Variant 43,Puas oro,25,100,25,none Variant 43,No Material,99,100,99
Variant 44,gold_token Variant 44,Moneda oro,35,100,35,gold Variant 44,Middle Card Black,30,100,30,kevlar Variant 44,Front Card KEVLAR,15,100,15,576 Variant 44,Bit,50,100,50,48 Variant 44,drift,80,100,80,3 Variant 44,Mana,80,100,80,5 Variant 44,ingot,33,100,33,wild Variant 44,No Material,900,1000,90,exotic_turquoise Variant 44,Cuerpo turquesa,14,100,14,sunny_yellow Variant 44,Material.002,17,100,17,wasp_yellow Variant 44,Ojos verde claro,25,100,25,bone Variant 44,Huesos blancos,70,100,70,none Variant 44,No Material,99,100,99
