,card_materials,card_patterns,card_bitpoints,card_drift,card_mana,card_ingot,dragon_allhorns,dragon_wings,dragon_eye_colors,dragon_gatget,dragon_skin_texture
22,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
23,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
24,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
25,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
26,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
27,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
28,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
29,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
30,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
31,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
32,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
33,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
34,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
35,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
36,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
37,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
38,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
39,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
40,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
41,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
42,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
43,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
44,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
45,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
46,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
47,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
48,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
49,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
50,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
51,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
52,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
53,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
54,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
55,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
56,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
57,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
58,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
59,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
60,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
61,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
62,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
63,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
64,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
65,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
66,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
67,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
68,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
69,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
70,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
71,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
72,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
73,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
74,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
75,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
76,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
77,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
78,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
79,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
80,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
81,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
82,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
83,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
84,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
85,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
86,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
87,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
88,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
89,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
90,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
91,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
92,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
93,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
94,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
95,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
96,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
97,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
98,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
99,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
100,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
101,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
102,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
103,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
104,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
105,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
106,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
107,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
108,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
109,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
110,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
111,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
112,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
113,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
114,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
115,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
116,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
117,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
118,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
119,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
120,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
121,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
122,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
123,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
124,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
125,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
126,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
127,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
128,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
129,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
130,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
131,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
132,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
133,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
134,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
135,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
136,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
137,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
138,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
139,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
140,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
141,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
142,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
143,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
144,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
145,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
146,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
147,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
148,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
149,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
150,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
151,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
152,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
153,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
154,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
155,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
156,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
157,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
158,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
159,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
160,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
161,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
162,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
163,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
164,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
165,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
166,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
167,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
168,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
169,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
170,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
171,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
172,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
173,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
174,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
175,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
176,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
177,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
178,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
179,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
180,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
181,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
182,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
183,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
184,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
185,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
186,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
187,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
188,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
189,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
190,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
191,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
192,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
193,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
194,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
195,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
196,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
197,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
198,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
199,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
200,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
201,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
202,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
203,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
204,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
205,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
206,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
207,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
208,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
209,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
210,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
211,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
212,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
213,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
214,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
215,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
216,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
217,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
218,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
219,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
220,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
221,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
222,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
223,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
224,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
225,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
226,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
227,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
228,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
229,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
230,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
231,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
232,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
233,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
234,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
235,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
236,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
237,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
238,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
239,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
240,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
241,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
242,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
243,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
244,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
245,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
246,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
247,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
248,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
249,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
250,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
251,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
252,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
253,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
254,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
255,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
256,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
257,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
258,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
259,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
260,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
261,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
262,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
263,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
264,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
265,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
266,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
267,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
268,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
269,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
270,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
271,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
272,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
273,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
274,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
275,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
276,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
277,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
278,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
279,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
280,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
281,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
282,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
283,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
284,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
285,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
286,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
287,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
288,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
289,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
290,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
291,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
292,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
293,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
294,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
295,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
296,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
297,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
298,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
299,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
